Company,Quarter,X1,X2,X3,X4,X5,OCF_TA,Interest_Coverage,Debt_Assets,Repo_Rate,Leverage_Repo,Stress_Label,shap_X1,shap_X2,shap_X3,shap_X4,shap_X5,shap_OCF_TA,shap_Interest_Coverage,shap_Debt_Assets,shap_Repo_Rate,shap_Leverage_Repo,predicted_probability,predicted_label,risk_category
Alok Industries,2014-03-31,0.2100258278213621,0.430813241969635,0.0247641260335988,0.5128624048558503,0.4705831421602598,0.0230990150426991,0.3835268848223337,0.7557047307145492,5.0,0.3778523653572746,0,0.023787,0.236632,-0.031744,0.541516,-0.528222,-0.367078,0.293497,-0.375388,0.0,-0.096672,0.5059377,1,Moderate Risk
Alok Industries,2014-06-30,0.2316384651409674,0.3737989152083278,0.0296320199871614,0.4382501726326553,0.4032797726967015,0.0249113772696677,0.5269654510678724,0.6296320072050317,5.0,0.3148160036025158,0,0.048671,0.518931,0.188002,0.510764,-0.574412,-0.356074,0.466235,-0.176695,0.0,0.008294,0.72335,1,High Risk
Alok Industries,2014-09-30,0.2689931004135459,0.4417040971873759,0.0194794971134076,0.7385770243552222,0.4793934686145562,0.0160970159774211,0.249666918362084,0.7515863263711527,5.0,0.3757931631855764,0,-0.055142,0.156313,-0.205755,-0.042424,-0.416739,0.313463,0.062021,-0.360492,0.0,-0.132476,0.41245925,0,Moderate Risk
Alok Industries,2014-12-31,0.1279709965835296,0.5207596682545259,0.0183695299537839,0.2543458017755999,0.5438202317055522,0.0151612370132442,0.2140617948740221,0.7879012170807856,5.0,0.3939506085403928,1,-0.105524,-0.022117,0.449884,0.091645,0.235246,0.386707,-0.132044,0.260493,0.0,0.052506,0.82407737,1,Severe Risk
Alok Industries,2015-03-31,0.2852548811794963,0.465804551217897,0.0234477411035755,0.5136493344581705,0.4755346144466886,0.0221767454025142,0.48043851831982,0.6724240051496929,5.0,0.3362120025748464,0,-0.182554,0.018129,-0.324287,0.586222,-0.535407,-0.403432,0.345662,0.000552,0.0,-0.003994,0.45718393,0,Moderate Risk
Alok Industries,2015-06-30,0.1266523259506019,0.5787592519035718,0.0348346733936813,0.8018435466598877,0.5861187440990561,0.0346825330326955,0.4787941292170945,0.6627515446935933,5.0,0.3313757723467966,0,-0.463013,-0.755575,0.103497,0.060595,0.580218,-0.100608,0.456937,-0.045536,0.0,-0.000103,0.54086685,1,Moderate Risk
Alok Industries,2015-09-30,0.2417071268446915,0.5683157710128087,0.0368312345036882,0.8999659855767743,0.5585966502132146,0.0308450975454502,0.4522565802071929,0.7925305519174419,5.0,0.3962652759587209,1,-0.002014,-0.650704,0.230018,0.136038,0.299134,0.465959,0.490863,0.498474,0.0,0.144968,0.87436974,1,Severe Risk
Alok Industries,2015-12-31,0.0436079222510738,0.5628153138810772,0.0185312398251539,0.2849448017793263,0.5727133663957877,0.0185158023888501,0.2858910723847514,0.7455023202204782,5.0,0.3727511601102391,1,-0.047494,-0.739747,0.429501,0.129562,0.661812,0.510677,0.512638,-0.485289,0.0,-0.052288,0.77674454,1,High Risk
Alok Industries,2016-03-31,0.2616206614205249,0.4436392394450783,0.0270138487761332,0.8081658722502472,0.4057227091396663,0.0218889310613618,0.4393665724319672,0.6056553892817751,5.0,0.3028276946408875,0,0.059005,0.181405,0.137647,0.005452,-0.658317,-0.329236,0.387167,-0.3085,0.0,-0.001144,0.45038927,0,Moderate Risk
Alok Industries,2016-06-30,0.1750044017427607,0.6771694168462316,0.0429605684832978,0.3508945446752547,0.6473047196020068,0.043178561147813,0.6733943471887226,0.7404885356274671,5.0,0.3702442678137335,0,-0.19025,-1.212266,0.148802,0.12152,0.860686,0.448841,-0.11127,-0.300597,0.0,-0.053161,0.5099311,1,Moderate Risk
Alok Industries,2016-09-30,0.0664266909109826,0.4400117013321439,0.0191331051093974,0.6448219035904722,0.4738413055473685,0.0171103729341184,0.3045233535341961,0.7437387213882142,5.0,0.3718693606941071,0,-0.186096,0.139598,-0.050376,0.719063,-0.418378,0.505072,0.348046,-0.412249,0.0,-0.101018,0.70497173,1,High Risk
Alok Industries,2016-12-31,0.1826212048654396,0.4332770719801698,0.0247166324799286,0.6117472075125735,0.4094364682105352,0.0251001782753222,0.3654439540732918,0.7523519792490762,5.0,0.3761759896245381,0,-0.107126,0.226411,-0.016562,0.719906,-0.603957,-0.302965,0.331553,-0.375812,0.0,-0.120271,0.51964045,1,Moderate Risk
Alok Industries,2017-03-31,0.1649018555907961,0.5305667561932629,0.0275971514642598,0.6176634330811824,0.5419445868961247,0.0292044195281007,0.4352243412054328,0.6936167222826384,5.0,0.3468083611413192,1,0.274641,-0.148251,0.174776,0.758273,-0.138526,0.472546,0.513126,0.088599,0.0,-0.024079,0.90875494,1,Severe Risk
Alok Industries,2017-06-30,0.137542320651654,0.6046376354099541,0.0410838456988914,0.9171484048588372,0.5251063312090831,0.0367568807145999,0.5455987985353289,0.7237097669549687,5.0,0.3618548834774843,0,-0.407861,-0.968667,0.141386,0.073719,-0.267209,0.07339,0.207661,-0.220622,0.0,-0.043312,0.25273257,0,Low Risk
Alok Industries,2017-09-30,0.1789734989323156,0.5841294176218849,0.0310561372847075,0.4392099649979295,0.536424655271792,0.0259659741851104,0.4984081766685985,0.7251666600556796,5.0,0.3625833300278398,0,-0.239009,-0.882153,0.133426,0.457854,-0.322558,-0.386278,0.396764,-0.208765,0.0,-0.050621,0.31563237,0,Low Risk
Alok Industries,2017-12-31,0.1564618804917512,0.5124501331783935,0.0308319237726911,0.7501811166795062,0.500350737762236,0.0249345871898722,0.438822591848641,0.8210260057370529,5.0,0.4105130028685264,1,0.459029,0.108665,0.187698,0.173861,-0.10116,-0.236436,0.512364,0.668567,0.0,0.087038,0.8990805,1,Severe Risk
