Company,Quarter,Sales,Total_Assets,Total_Liabilities,Short_Term_Debt,Long_Term_Debt,EBIT,Interest_Expense,Operating_Cash_Flow,Market_Cap,Retained_Earnings,Current_Assets,Current_Liabilities,RBI_Repo_Rate
Adani Enterprises,2014-06-30,14568.12,120753.06,120592.18,25037.9,58421.76,2813.51,1734.7,1928.1,100328.99,23665.08,36354.41,19734.41,7.75
Adani Enterprises,2014-09-30,16116.98,123590.95,123002.61,24951.95,58221.22,3112.64,1744.33,2133.1,105581.56,24221.25,37081.08,20059.78,7.75
Adani Enterprises,2014-12-31,17250.65,127241.66,127033.62,25030.31,58404.05,3331.58,1755.86,2283.14,97449.8,24936.71,38296.29,20782.23,7.75
Adani Enterprises,2015-03-31,17361.25,132985.95,135293.26,25506.29,59514.67,3352.94,1737.09,2297.78,103576.64,26062.47,40786.28,22554.37,7.75
Adani Enterprises,2015-06-30,7836.66,108352.38,108246.61,5745.09,13405.2,388.05,332.91,1177.99,111027.28,12260.92,58944.91,23694.02,6.75
Adani Enterprises,2015-09-30,8162.6,87823.0,89478.12,5859.08,13671.18,404.19,341.37,1226.98,113811.93,12842.15,48724.66,19974.41,6.75
Adani Enterprises,2015-12-31,9042.13,63728.18,63518.3,5731.76,13374.11,447.75,333.39,1359.19,105773.38,12893.7,34588.43,13871.23,6.75
Adani Enterprises,2016-03-31,8987.52,41948.71,42220.16,5787.91,13505.13,445.04,345.2,1350.98,105060.18,13353.86,22990.69,9310.43,6.75
Adani Enterprises,2016-06-30,8329.32,42994.89,42828.43,6229.59,14535.7,433.65,314.89,176.47,132951.17,12923.82,22641.65,11317.32,6.25
Adani Enterprises,2016-09-30,9119.57,44419.02,44194.19,6222.15,14518.34,474.79,315.66,193.21,121272.73,13257.25,23363.67,11664.26,6.25
Adani Enterprises,2016-12-31,9363.13,45967.79,45808.14,6232.08,14541.52,487.47,312.43,198.37,129764.11,13627.85,24216.9,12109.54,6.25
Adani Enterprises,2017-03-31,9680.92,47411.53,47212.89,6227.6,14531.06,504.01,308.85,205.1,119787.3,13967.24,24959.54,12471.92,6.25
Adani Enterprises,2017-06-30,8092.38,48896.82,48000.87,5194.15,12119.68,459.09,316.59,662.73,139531.25,13601.69,33073.41,19781.68,6.0
Adani Enterprises,2017-09-30,8626.16,52126.66,52245.6,5303.17,12374.07,489.37,317.24,706.44,135283.64,14262.52,35998.1,21982.91,6.0
Adani Enterprises,2017-12-31,9431.42,55199.82,56211.34,5388.06,12572.14,535.05,315.39,772.39,135036.33,14872.15,38730.57,24030.12,6.0
Adani Enterprises,2018-03-31,9648.55,57344.53,58299.71,5379.23,12551.54,547.37,317.93,790.17,144421.86,15228.5,40169.48,24882.07,6.0
Adani Enterprises,2018-06-30,9359.51,53472.21,54012.06,3406.95,7949.56,456.4,404.68,750.08,159114.95,13684.32,33319.46,21210.62,6.25
Adani Enterprises,2018-09-30,9998.18,49928.59,50390.92,3404.13,7942.98,487.54,405.09,801.26,166541.59,14042.54,31085.62,19772.22,6.25
Adani Enterprises,2018-12-31,10374.63,46077.4,46151.67,3378.34,7882.79,505.9,411.66,831.43,167053.15,14302.87,28470.47,17971.61,6.25
Adani Enterprises,2019-03-31,10555.8,43242.2,43960.13,3428.9,8000.76,514.73,404.28,845.95,152018.96,14889.16,27118.53,17374.41,6.25
Adani Enterprises,2019-06-30,10188.86,43645.34,43669.95,3727.8,8698.2,538.52,392.75,576.08,171886.88,15583.01,25246.12,16321.03,5.15
Adani Enterprises,2019-09-30,10680.34,43881.61,43072.91,3657.04,8533.09,564.49,390.25,603.86,170852.19,15700.37,24900.97,15792.32,5.15
Adani Enterprises,2019-12-31,11055.85,46643.32,47512.28,3795.11,8855.26,584.34,400.52,625.1,174346.31,16721.9,27467.42,18077.66,5.15
Adani Enterprises,2020-03-31,11549.4,47195.8,47518.79,3751.2,8752.79,610.43,390.58,653.0,185986.35,16952.23,27471.19,17870.95,5.15
Adani Enterprises,2020-06-30,9337.26,48605.12,49155.91,4923.26,11487.62,591.83,342.88,954.82,191161.56,15949.03,25189.82,17558.49,4.0
Adani Enterprises,2020-09-30,9971.54,49449.94,49654.71,4888.26,11405.94,632.03,337.72,1019.68,203667.85,16263.62,25445.43,17610.55,4.0
Adani Enterprises,2020-12-31,10495.56,51316.13,52216.27,4953.49,11558.15,665.25,339.02,1073.26,188468.71,16914.36,26758.1,18766.17,4.0
Adani Enterprises,2021-03-31,10454.9,51218.96,50824.0,4830.56,11271.31,662.67,340.43,1069.1,200075.66,16917.53,26044.63,17812.49,4.0
Adani Enterprises,2021-06-30,15887.27,63265.41,62432.68,12316.92,28739.47,849.98,622.92,316.97,219518.18,20216.33,26812.26,22880.45,4.0
Adani Enterprises,2021-09-30,17270.45,75327.24,74074.18,12273.58,28638.35,923.98,641.55,344.56,218627.0,20689.66,31811.81,27051.33,4.0
Adani Enterprises,2021-12-31,17785.67,89670.07,90250.13,12561.94,29311.19,951.54,619.29,354.84,226077.4,21733.01,38758.71,33733.0,4.0
Adani Enterprises,2022-03-31,17854.31,99650.62,97752.1,12243.41,28567.96,955.21,624.78,356.21,234351.77,21725.06,41980.5,35610.59,4.0
Adani Enterprises,2022-06-30,30169.68,110311.28,109126.43,15788.57,36840.01,2085.9,977.78,4169.44,263807.78,30139.48,41758.75,42047.6,6.5
Adani Enterprises,2022-09-30,32046.85,119249.25,117105.73,15673.12,36570.61,2215.69,989.06,4428.87,230763.39,30727.71,44812.14,44792.15,6.5
Adani Enterprises,2022-12-31,33627.8,128878.45,126448.58,15659.09,36537.88,2325.0,988.0,4647.35,252441.5,31508.11,48387.32,48322.45,6.5
Adani Enterprises,2023-03-31,32497.58,140184.13,139098.73,15836.43,36951.66,2246.85,1003.66,4491.16,230797.91,32681.98,53228.07,53758.7,6.5
Adani Enterprises,2023-06-30,22294.39,148873.98,151695.45,19964.33,46583.43,2630.58,1134.09,2384.33,280991.01,36722.88,47919.54,54094.72,6.5
Adani Enterprises,2023-09-30,23304.57,149552.43,148185.48,19413.91,45299.13,2749.78,1148.29,2492.37,297064.43,36675.58,46810.76,51386.19,6.5
Adani Enterprises,2023-12-31,25120.26,152958.91,150209.15,19240.78,44895.14,2964.01,1141.02,2686.55,275719.7,37305.04,47450.03,51623.41,6.5
Adani Enterprises,2024-03-31,25815.25,158815.18,157063.88,19376.94,45212.87,3046.02,1152.67,2760.88,266789.24,38532.36,49615.39,54361.23,6.5
Adani Enterprises,2024-06-30,22944.51,167150.32,164444.9,26997.74,62994.72,3340.37,1520.23,1057.75,310002.93,45682.51,49189.76,45838.99,6.25
Adani Enterprises,2024-09-30,23750.36,176228.97,173293.17,26984.75,62964.41,3457.69,1516.66,1094.9,298056.3,46894.6,51836.5,48282.19,6.25
Adani Enterprises,2024-12-31,26086.7,188472.46,188416.18,27433.71,64011.98,3797.82,1467.68,1202.61,309605.35,48929.41,56360.19,53369.11,6.25
Adani Enterprises,2025-03-31,25442.11,198079.94,198317.17,27474.77,64107.79,3703.98,1488.2,1172.89,295568.37,50259.12,59321.84,56257.64,6.25
Adani Enterprises,2025-06-30,23207.69,215822.06,218068.0,32319.47,75412.09,3231.83,1523.13,544.45,330618.39,75514.97,70647.15,61929.22,6.0
Adani Enterprises,2025-09-30,24096.88,228080.97,226813.52,31808.85,74220.65,3355.66,1490.8,565.31,344873.51,76330.61,73480.42,63395.2,6.0
Adani Enterprises,2025-12-31,26657.46,240549.46,236072.09,31391.23,73246.2,3712.24,1478.07,625.38,343946.99,77310.79,76479.91,65116.71,6.0
Adani Enterprises,2026-03-31,26685.1,262344.56,263829.48,32167.65,75057.85,3716.08,1486.3,626.03,336550.38,81254.33,85472.43,74573.09,6.0
Asian Paints,2014-06-30,2992.07,8281.99,8318.69,125.96,293.9,492.93,10.37,261.08,77668.74,4316.59,4172.41,3518.82,7.75
Asian Paints,2014-09-30,3176.72,8300.8,8136.61,122.92,286.81,523.35,10.51,277.19,74152.55,4326.4,4081.08,3358.84,7.75
Asian Paints,2014-12-31,3681.01,8554.88,8420.75,123.43,288.01,606.43,10.31,321.19,78418.01,4458.83,4223.6,3490.67,7.75
Asian Paints,2015-03-31,3708.13,8918.52,8923.04,125.46,292.75,610.9,10.53,323.56,77833.67,4648.35,4475.53,3759.71,7.75
Asian Paints,2015-06-30,3220.95,9171.23,9019.76,95.3,222.37,615.03,12.2,506.24,91841.12,5848.61,3693.67,3117.67,6.75
Asian Paints,2015-09-30,3310.83,9739.39,9742.27,96.93,226.17,632.19,12.17,520.37,95550.44,6109.36,3989.54,3424.97,6.75
Asian Paints,2015-12-31,3923.01,10347.79,10551.77,98.81,230.56,749.08,12.35,616.59,84836.96,6391.84,4321.04,3781.56,6.75
Asian Paints,2016-03-31,3765.89,10525.98,10493.07,96.6,225.39,719.09,12.2,591.89,88869.04,6408.9,4297.0,3676.3,6.75
Asian Paints,2016-06-30,3394.68,11068.07,11115.84,168.73,393.69,674.79,9.33,344.16,97891.16,6974.88,5548.51,3816.67,6.25
Asian Paints,2016-09-30,3646.72,11629.52,11778.94,170.16,397.04,724.89,9.42,369.71,92918.43,7224.24,5879.5,4078.7,6.25
Asian Paints,2016-12-31,4175.95,11827.7,11713.02,166.37,388.2,830.09,9.08,423.36,93854.78,7249.32,5846.6,3965.6,6.25
Asian Paints,2017-03-31,4054.18,12213.71,12025.37,165.41,385.96,805.88,9.32,411.02,99094.19,7392.22,6002.51,4047.81,6.25
Asian Paints,2017-06-30,3691.78,12551.31,12361.04,157.48,367.44,703.03,10.2,463.64,111620.75,7573.87,5824.41,4263.39,6.0
Asian Paints,2017-09-30,4056.16,12864.28,12648.26,157.21,366.83,772.42,10.07,509.4,110459.54,7765.67,5959.74,4355.22,6.0
Asian Paints,2017-12-31,4749.5,13519.44,13616.06,161.04,375.77,904.45,10.32,596.48,110588.89,8164.08,6415.76,4802.62,6.0
Asian Paints,2018-03-31,4525.98,13837.92,13913.26,160.77,375.13,861.89,10.05,568.4,120565.3,8359.26,6555.8,4899.15,6.0
Asian Paints,2018-06-30,4261.39,14513.37,14643.39,399.55,932.28,833.89,27.91,547.07,118968.3,8749.57,6284.88,4963.66,6.25
Asian Paints,2018-09-30,4679.84,15026.39,15046.8,396.54,925.26,915.78,27.02,600.79,119405.6,8918.35,6458.02,5061.98,6.25
Asian Paints,2018-12-31,5135.99,15499.38,15372.31,392.75,916.42,1005.04,27.41,659.35,126374.08,9065.69,6597.73,5122.13,6.25
Asian Paints,2019-03-31,5170.54,16003.97,15762.63,390.03,910.07,1011.8,27.0,663.79,127846.18,9233.63,6765.25,5215.74,6.25
Asian Paints,2019-06-30,4404.58,16320.06,16419.48,337.44,787.37,907.02,25.73,662.07,149700.92,9337.99,7841.43,5004.58,5.15
Asian Paints,2019-09-30,4855.55,16305.54,16418.35,337.72,788.01,999.89,25.43,729.86,136758.52,9598.25,7840.89,5008.34,5.15
Asian Paints,2019-12-31,5493.43,16131.1,16096.53,334.68,780.92,1131.25,25.79,825.74,148629.07,9762.18,7687.2,4865.99,5.15
Asian Paints,2020-03-31,5511.03,16406.95,16680.37,340.99,795.64,1134.87,25.86,828.39,140290.28,10201.22,7966.02,5137.53,5.15
Asian Paints,2020-06-30,4724.95,17103.66,17015.52,326.21,761.16,1056.71,23.08,801.45,161448.9,11696.17,8005.78,5369.01,4.0
Asian Paints,2020-09-30,5220.45,18154.94,18063.84,326.25,761.26,1167.53,23.17,885.5,150410.87,12013.91,8499.01,5700.56,4.0
Asian Paints,2020-12-31,5946.19,19601.92,19907.78,333.02,777.04,1329.83,22.67,1008.6,154961.61,12585.62,9366.58,6412.68,4.0
Asian Paints,2021-03-31,5687.81,20473.73,20593.15,329.81,769.56,1272.05,22.56,964.78,162359.68,12784.14,9689.05,6569.63,4.0
Asian Paints,2021-06-30,6340.99,20929.82,20854.16,474.38,1106.88,1046.77,23.34,214.85,172570.2,12641.44,12503.59,6842.39,4.0
Asian Paints,2021-09-30,6984.94,21539.2,21422.54,473.52,1104.88,1153.08,23.85,236.66,169913.12,12959.63,12844.38,7016.17,4.0
Asian Paints,2021-12-31,8237.11,22475.25,22644.51,479.69,1119.27,1359.78,23.71,279.09,167711.17,13473.81,13577.04,7512.92,4.0
Asian Paints,2022-03-31,7777.79,22963.01,22968.02,476.2,1111.14,1283.96,23.3,263.53,191156.2,13718.99,13771.01,7564.95,4.0
Asian Paints,2022-06-30,7534.86,23219.29,22783.65,569.02,1327.71,1367.63,35.34,916.05,195726.62,14427.93,13016.7,6811.18,6.5
Asian Paints,2022-09-30,8024.05,24618.24,24870.54,585.84,1366.97,1456.42,35.31,975.52,197975.86,15255.97,14208.98,7654.88,6.5
Asian Paints,2022-12-31,9364.54,24688.76,24309.67,571.0,1332.32,1699.73,36.58,1138.49,213836.7,15260.63,13888.55,7292.63,6.5
Asian Paints,2023-03-31,9122.83,25885.15,25991.74,582.29,1358.67,1655.86,36.56,1109.11,209716.43,15961.46,14849.54,7951.42,6.5
Asian Paints,2023-06-30,8035.68,27304.01,27807.65,755.89,1763.74,1717.16,50.82,1381.88,219267.21,17552.5,14385.09,8238.26,6.5
Asian Paints,2023-09-30,8372.15,27886.11,27932.3,743.43,1734.67,1789.06,50.92,1439.74,210862.32,17729.72,14449.58,8138.78,6.5
Asian Paints,2023-12-31,9792.58,29172.95,29478.57,749.98,1749.94,2092.6,51.34,1684.01,235130.36,18356.51,15249.47,8664.95,6.5
Asian Paints,2024-03-31,9460.98,29613.15,29328.08,735.06,1715.13,2021.74,50.84,1626.99,212307.99,18452.64,15171.62,8449.21,6.5
Asian Paints,2024-06-30,7261.34,29738.66,29465.36,680.69,1588.27,1286.25,56.39,947.45,268656.7,17692.1,14711.81,8333.75,6.25
Asian Paints,2024-09-30,8080.56,30224.97,30322.26,689.21,1608.16,1431.36,56.4,1054.34,235567.87,18397.83,15139.65,8683.51,6.25
Asian Paints,2024-12-31,9292.85,30228.07,30214.65,686.69,1602.29,1646.1,57.04,1212.52,246071.15,18813.04,15085.92,8621.11,6.25
Asian Paints,2025-03-31,9338.6,30504.84,30655.42,690.39,1610.91,1654.21,57.61,1218.49,252775.09,19399.29,15306.0,8793.95,6.25
Asian Paints,2025-06-30,7885.16,31264.31,31133.17,1173.76,2738.76,1484.67,48.17,1570.65,259367.79,19597.75,14401.76,8278.97,6.0
Asian Paints,2025-09-30,8438.8,32083.76,31734.37,1165.86,2720.35,1588.92,48.83,1680.93,300788.49,19992.09,14679.87,8382.1,6.0
Asian Paints,2025-12-31,10026.01,33522.71,33567.48,1180.27,2753.97,1887.77,49.18,1997.09,296574.62,20771.8,15527.84,8975.88,6.0
Asian Paints,2026-03-31,9307.78,34000.97,33490.71,1161.01,2709.03,1752.53,49.32,1854.02,293180.64,20956.71,15492.33,8809.19,6.0
Axis Bank,2014-06-30,8593.71,438945.81,445797.14,42708.24,99652.56,1289.06,5271.06,-3647.04,105525.15,41781.5,330275.51,15170.56,7.75
Axis Bank,2014-09-30,8860.9,436983.16,430192.65,41398.4,96596.28,1329.13,5240.94,-3760.43,109518.16,41594.69,318714.69,14190.55,7.75
Axis Bank,2014-12-31,8983.35,446718.44,438046.62,41235.55,96216.28,1347.5,5406.84,-3812.4,107127.66,42521.35,324533.42,14392.78,7.75
Axis Bank,2015-03-31,9109.92,460222.55,453307.59,41420.03,96646.74,1366.49,5232.67,-3866.11,107731.52,43806.75,335839.74,14960.84,7.75
Axis Bank,2015-06-30,9830.43,487631.7,488235.15,49235.68,114883.26,1474.56,6062.7,-8189.06,124212.12,49161.61,367627.3,18500.11,6.75
Axis Bank,2015-09-30,10047.85,516211.33,525781.88,50086.53,116868.57,1507.18,6077.26,-8370.17,122722.41,51362.83,395898.92,20267.11,6.75
Axis Bank,2015-12-31,10671.78,532372.37,538206.98,49713.77,115998.79,1600.77,6040.2,-8889.93,127692.53,52322.17,405254.68,20591.66,6.75
Axis Bank,2016-03-31,10676.44,538203.22,530142.02,48438.29,113022.68,1601.47,6201.88,-8893.81,112893.61,52286.94,399181.99,19762.7,6.75
Axis Bank,2016-06-30,10902.98,554108.05,545690.2,54195.56,126456.3,1635.45,6779.53,7773.63,131892.19,50922.89,427148.93,24295.69,6.25
Axis Bank,2016-09-30,10966.83,585249.64,591643.89,55632.84,129809.95,1645.02,6641.88,7819.16,137425.6,53686.17,463120.01,27040.27,6.25
Axis Bank,2016-12-31,11414.63,583321.61,571686.76,53933.93,125845.83,1712.19,6662.89,8138.44,132642.42,53416.36,447498.21,25330.26,6.25
Axis Bank,2017-03-31,11734.78,619950.58,628557.0,55795.55,130189.62,1760.22,6824.28,8366.7,126586.59,56677.04,492014.42,28811.35,6.25
Axis Bank,2017-06-30,11335.57,641638.45,648834.45,64043.56,149434.96,1700.34,6979.17,-9335.66,152444.17,59577.71,503997.55,26172.54,6.0
Axis Bank,2017-09-30,11582.18,646158.84,634933.64,62233.03,145210.41,1737.33,6846.6,-9538.77,146802.15,59458.12,493199.77,24887.76,6.0
Axis Bank,2017-12-31,11705.85,687379.6,694183.13,63960.13,149240.3,1755.88,6896.6,-9640.61,152832.5,62716.32,539223.21,27965.33,6.0
Axis Bank,2018-03-31,11684.67,716164.86,728847.4,64454.84,150394.62,1752.7,7027.37,-9623.17,160478.77,64821.96,566149.51,29588.89,6.0
Axis Bank,2018-06-30,13702.84,744825.44,758612.71,74620.31,174114.06,2055.43,8485.82,9077.12,160220.64,63393.53,592560.46,32506.63,6.25
Axis Bank,2018-09-30,13898.08,749641.52,740520.87,72372.76,168869.77,2084.71,8377.7,9206.45,162013.77,63145.86,578428.74,30775.65,6.25
Axis Bank,2018-12-31,14396.19,788923.39,791394.25,73493.6,171485.06,2159.43,8566.07,9536.41,162183.18,65811.27,618166.48,33399.29,6.25
Axis Bank,2019-03-31,14700.73,810404.47,806779.23,72936.4,170184.94,2205.11,8516.82,9738.14,176681.78,66987.0,630183.85,33790.44,6.25
Axis Bank,2019-06-30,14914.56,856571.81,870876.08,84903.02,198107.06,2237.18,9440.18,7119.74,186066.7,80667.78,721008.42,42172.0,5.15
Axis Bank,2019-09-30,15900.32,878195.67,885492.47,84202.34,196472.13,2385.05,9647.24,7590.31,179034.3,82164.27,733109.5,42525.92,5.15
Axis Bank,2019-12-31,15903.75,904125.62,908860.41,83945.8,195873.54,2385.56,9312.0,7591.95,190908.0,84069.57,752456.09,43515.19,5.15
Axis Bank,2020-03-31,16046.85,928972.82,930074.94,83607.55,195084.29,2407.03,9673.0,7660.26,184569.32,85877.76,770019.84,44351.48,5.15
Axis Bank,2020-06-30,15294.84,930117.51,914351.62,88563.38,206647.88,2294.23,8718.95,3000.45,207849.59,93642.77,704302.99,42077.06,4.0
Axis Bank,2020-09-30,16395.76,966235.33,968035.51,90258.3,210602.69,2459.36,8642.78,3216.42,213304.39,98014.22,745654.4,45400.06,4.0
Axis Bank,2020-12-31,15971.85,980581.05,978445.02,89894.2,209753.14,2395.78,8541.01,3133.26,205589.23,100187.76,753672.59,45703.15,4.0
Axis Bank,2021-03-31,16134.49,1020272.05,1039909.94,91824.48,214257.13,2420.17,8775.75,3165.16,225735.5,104963.15,801017.53,49617.2,4.0
Axis Bank,2021-06-30,16698.01,1068975.63,1088671.59,109580.1,255686.91,2504.7,8640.64,6824.39,229786.23,110828.56,834083.42,52468.43,4.0
Axis Bank,2021-09-30,17677.69,1107568.13,1116948.02,108508.84,253187.3,2651.65,8903.56,7224.78,260088.02,112711.18,855747.35,53304.96,4.0
Axis Bank,2021-12-31,17628.98,1144007.63,1141124.54,107326.45,250428.37,2644.35,8646.77,7204.87,245112.02,114416.75,874270.14,53865.33,4.0
Axis Bank,2022-03-31,17273.74,1218539.48,1241992.85,109668.55,255893.29,2591.06,8773.48,7059.69,229522.78,119911.37,951550.18,59906.05,4.0
Axis Bank,2022-06-30,21133.51,1254630.2,1276897.45,123145.09,287338.55,3170.03,11024.23,5334.85,290389.43,121599.06,998387.66,60509.34,6.5
